Book,Chapter,Verse,CatchWord,NoteText,NoteType
Genesis,1,4,the light from...,Heb. between the light and between the darkness,literal
Genesis,1,5,And the evening...,"Heb. And the evening was, and the morning was etc.",literal
Genesis,1,6,firmament,Heb. expansion,literal
Genesis,1,8,And the evening...,"Heb. And the evening was, and the morning was etc.",literal
Genesis,1,11,grass,Heb. tender grass,literal
Genesis,1,13,And the evening...,"Heb. And the evening was, and the morning was etc.",literal
Genesis,1,14,the day...,Heb. between the day and between the night,literal
Genesis,1,16,to rule the day...,"Heb. for the rule of the day, etc.",literal
Genesis,1,19,And the evening...,"Heb. And the evening was, and the morning was etc.",literal
Genesis,1,20,moving,"or, creeping",alternate
Genesis,1,20,life,Heb. soul,literal
Genesis,1,20,fowl...,Heb. let fowl fly,literal
Genesis,1,20,open...,Heb. face of the firmament of heaven,literal
Genesis,1,23,And the evening...,"Heb. And the evening was, and the morning was etc.",literal
Genesis,1,28,moveth,Heb. creepeth,literal
Genesis,1,29,bearing...,Heb. seeding seed,literal
Genesis,1,29,yielding...,Heb. seeding seed,literal
Genesis,1,30,life,Heb. a living soul,literal
Genesis,1,31,And the evening...,"Heb. And the evening was, and the morning was etc.",literal
Genesis,2,3,created...,Heb. created to make,literal
Genesis,2,6,there...,"or, a mist which went up from, etc.",alternate
Genesis,2,7,of the dust...,Heb. dust of the ground,literal
Genesis,2,13,Ethiopia,Heb. Cush,literal
Genesis,2,14,toward...,"or, eastward to Assyria",alternate
Genesis,2,15,the man,"or, Adam",alternate
Genesis,2,16,thou...,Heb. eating thou shalt eat,literal
Genesis,2,17,thou shalt surely...,Heb. dying thou shalt die,literal
Genesis,2,18,meet...,Heb. as before him,literal
Genesis,2,19,Adam,"or, the man",alternate
Genesis,2,20,gave,Heb. called,literal
Genesis,2,22,made,Heb. builded,literal
Genesis,2,23,Woman,Heb. Isha,literal
Genesis,2,23,Man,Heb. Ish,literal
Genesis,3,1,Yea...,"Heb. Yea, because, etc.",literal
Genesis,3,6,pleasant,Heb. a desire,literal
Genesis,3,7,aprons,"or, things to gird about",alternate
Genesis,3,8,cool,Heb. wind,literal
Genesis,3,16,to thy...,"or, subject to thy husband",alternate
Genesis,3,18,bring...,Heb. cause to bud,literal
Genesis,3,20,Eve,Heb. Chavah: that is Living,literal
Genesis,4,1,Cain,"that is, Gotten, or, Acquired",alternate
Genesis,4,2,Abel,Heb. Hebel,literal
Genesis,4,2,a keeper,Heb. a feeder,literal
Genesis,4,3,in process...,Heb. at the end of days,literal
Genesis,4,4,flock,"Heb. sheep, or, goats",mixed
Genesis,4,7,be accepted,"or, have the excellency",alternate
Genesis,4,7,unto...,"or, subject unto thee",alternate
Genesis,4,10,blood,Heb. bloods,literal
Genesis,4,13,My...,"or, Mine iniquity is greater than that it may be forgiven",alternate
Genesis,4,17,Enoch,Heb. Chanoch,literal
